TEAM_CITY,PLAYER_NAME,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG3M,TEAM_FG3A,TEAM_FTM,TEAM_FTA,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PFD,TEAM_PTS,TEAM_PLUS_MINUS
Orlando,Franz Wagner,48.24390243902439,40.46341463414634,84.92682926829268,11.012195121951219,31.317073170731707,18.524390243902438,24.414634146341463,10.5,31.804878048780488,42.30487804878049,24.670731707317074,8.158536585365853,5.158536585365853,14.707317073170731,19.73170731707317,20.853658536585368,110.46341463414635,2.024390243902439
Orlando,Paolo Banchero,48.24390243902439,40.46341463414634,84.92682926829268,11.012195121951219,31.317073170731707,18.524390243902438,24.414634146341463,10.5,31.804878048780488,42.30487804878049,24.670731707317074,8.158536585365853,5.158536585365853,14.707317073170731,19.73170731707317,20.853658536585368,110.46341463414635,2.024390243902439
Orlando,Gary Harris,48.24390243902439,40.46341463414634,84.92682926829268,11.012195121951219,31.317073170731707,18.524390243902438,24.414634146341463,10.5,31.804878048780488,42.30487804878049,24.670731707317074,8.158536585365853,5.158536585365853,14.707317073170731,19.73170731707317,20.853658536585368,110.46341463414635,2.024390243902439
Orlando,Jalen Suggs,48.24390243902439,40.46341463414634,84.92682926829268,11.012195121951219,31.317073170731707,18.524390243902438,24.414634146341463,10.5,31.804878048780488,42.30487804878049,24.670731707317074,8.158536585365853,5.158536585365853,14.707317073170731,19.73170731707317,20.853658536585368,110.46341463414635,2.024390243902439
Boston,Jaylen Brown,48.36585365853659,43.91463414634146,90.1951219512195,16.475609756097562,42.46341463414634,16.26829268292683,20.170731707317074,10.682926829268293,35.646341463414636,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,17.26829268292683,120.57317073170732,11.341463414634147
Boston,Jayson Tatum,48.36585365853659,43.91463414634146,90.1951219512195,16.475609756097562,42.46341463414634,16.26829268292683,20.170731707317074,10.682926829268293,35.646341463414636,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,17.26829268292683,120.57317073170732,11.341463414634147
Boston,Kristaps Porziņģis,48.36585365853659,43.91463414634146,90.1951219512195,16.475609756097562,42.46341463414634,16.26829268292683,20.170731707317074,10.682926829268293,35.646341463414636,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,17.26829268292683,120.57317073170732,11.341463414634147
Boston,Derrick White,48.36585365853659,43.91463414634146,90.1951219512195,16.475609756097562,42.46341463414634,16.26829268292683,20.170731707317074,10.682926829268293,35.646341463414636,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,17.26829268292683,120.57317073170732,11.341463414634147
Boston,Jrue Holiday,48.36585365853659,43.91463414634146,90.1951219512195,16.475609756097562,42.46341463414634,16.26829268292683,20.170731707317074,10.682926829268293,35.646341463414636,46.329268292682926,26.914634146341463,6.7926829268292686,6.560975609756097,11.939024390243903,16.170731707317074,17.26829268292683,120.57317073170732,11.341463414634147
Philadelphia,Tobias Harris,48.24390243902439,41.51219512195122,89.40243902439025,12.097560975609756,33.329268292682926,19.475609756097562,23.585365853658537,11.048780487804878,31.902439024390244,42.951219512195124,24.890243902439025,8.463414634146341,6.0,12.0,20.341463414634145,18.524390243902438,114.59756097560975,3.048780487804878
Philadelphia,Mo Bamba,48.24390243902439,41.51219512195122,89.40243902439025,12.097560975609756,33.329268292682926,19.475609756097562,23.585365853658537,11.048780487804878,31.902439024390244,42.951219512195124,24.890243902439025,8.463414634146341,6.0,12.0,20.341463414634145,18.524390243902438,114.59756097560975,3.048780487804878
Detroit,Ausar Thompson,48.18292682926829,40.890243902439025,88.2439024390244,11.048780487804878,31.73170731707317,17.048780487804876,21.70731707317073,10.5,32.829268292682926,43.329268292682926,25.463414634146343,6.475609756097561,4.682926829268292,15.21951219512195,20.585365853658537,17.76829268292683,109.8780487804878,-9.109756097560975
Detroit,Isaiah Stewart,48.18292682926829,40.890243902439025,88.2439024390244,11.048780487804878,31.73170731707317,17.048780487804876,21.70731707317073,10.5,32.829268292682926,43.329268292682926,25.463414634146343,6.475609756097561,4.682926829268292,15.21951219512195,20.585365853658537,17.76829268292683,109.8780487804878,-9.109756097560975
Detroit,Jalen Duren,48.18292682926829,40.890243902439025,88.2439024390244,11.048780487804878,31.73170731707317,17.048780487804876,21.70731707317073,10.5,32.829268292682926,43.329268292682926,25.463414634146343,6.475609756097561,4.682926829268292,15.21951219512195,20.585365853658537,17.76829268292683,109.8780487804878,-9.109756097560975
Detroit,Jaden Ivey,48.18292682926829,40.890243902439025,88.2439024390244,11.048780487804878,31.73170731707317,17.048780487804876,21.70731707317073,10.5,32.829268292682926,43.329268292682926,25.463414634146343,6.475609756097561,4.682926829268292,15.21951219512195,20.585365853658537,17.76829268292683,109.8780487804878,-9.109756097560975
Detroit,Cade Cunningham,48.18292682926829,40.890243902439025,88.2439024390244,11.048780487804878,31.73170731707317,17.048780487804876,21.70731707317073,10.5,32.829268292682926,43.329268292682926,25.463414634146343,6.475609756097561,4.682926829268292,15.21951219512195,20.585365853658537,17.76829268292683,109.8780487804878,-9.109756097560975
