PLAYER_NAME,TEAM_CITY,SEASON_SEASON_ID,SEASON_MIN,SEASON_FGM,SEASON_FGA,SEASON_FG3M,SEASON_FG3A,SEASON_FTM,SEASON_FTA,SEASON_OREB,SEASON_DREB,SEASON_REB,SEASON_AST,SEASON_STL,SEASON_BLK,SEASON_TOV,SEASON_PF,SEASON_PTS
Franz Wagner,Orlando,2023-24,32.458333333333336,7.333333333333333,15.222222222222221,1.3055555555555556,4.638888888888889,3.763888888888889,4.430555555555555,1.0,4.291666666666667,5.291666666666667,3.736111111111111,1.0555555555555556,0.3888888888888889,1.9027777777777777,2.3333333333333335,19.73611111111111
Paolo Banchero,Orlando,2023-24,34.9875,8.0,17.5875,1.4875,4.3875,5.0625,6.9875,1.025,5.9,6.925,5.3875,0.8875,0.5875,3.0875,1.9125,22.55
Gary Harris,Orlando,2023-24,24.01851851851852,2.425925925925926,5.5,1.4074074074074074,3.7962962962962963,0.6296296296296297,0.8333333333333334,0.4444444444444444,1.2407407407407407,1.6851851851851851,1.6111111111111112,0.9074074074074074,0.25925925925925924,0.5740740740740741,1.6851851851851851,6.888888888888889
Jalen Suggs,Orlando,2023-24,27.0,4.48,9.52,2.04,5.133333333333334,1.5733333333333333,2.08,0.64,2.4133333333333336,3.0533333333333332,2.7333333333333334,1.4133333333333333,0.6266666666666667,1.76,2.7333333333333334,12.573333333333334
Jaylen Brown,Boston,2023-24,33.47142857142857,8.957142857142857,17.942857142857143,2.0714285714285716,5.857142857142857,3.0142857142857142,4.285714285714286,1.2,4.328571428571428,5.5285714285714285,3.557142857142857,1.1857142857142857,0.5285714285714286,2.3714285714285714,2.642857142857143,23.0
Jayson Tatum,Boston,2023-24,35.74324324324324,9.08108108108108,19.27027027027027,3.0945945945945947,8.22972972972973,5.594594594594595,6.716216216216216,0.9054054054054054,7.216216216216216,8.121621621621621,4.918918918918919,1.0135135135135136,0.581081081081081,2.5405405405405403,1.9594594594594594,26.85135135135135
Kristaps Porziņģis,Boston,2023-24,29.649122807017545,6.807017543859649,13.192982456140351,1.9298245614035088,5.140350877192983,4.543859649122807,5.298245614035087,1.7017543859649122,5.473684210526316,7.175438596491228,2.017543859649123,0.7368421052631579,1.9473684210526316,1.5614035087719298,2.736842105263158,20.087719298245613
Derrick White,Boston,2023-24,32.61643835616438,5.301369863013699,11.493150684931507,2.684931506849315,6.780821917808219,1.8767123287671232,2.0821917808219177,0.6986301369863014,3.547945205479452,4.2465753424657535,5.164383561643835,1.0136986301369864,1.1917808219178083,1.5342465753424657,2.0821917808219177,15.164383561643836
Jrue Holiday,Boston,2023-24,32.79710144927536,4.797101449275362,9.985507246376812,2.0,4.666666666666667,0.8695652173913043,1.0434782608695652,1.2173913043478262,4.188405797101449,5.405797101449275,4.826086956521739,0.8840579710144928,0.7681159420289855,1.7971014492753623,1.565217391304348,12.46376811594203
Tobias Harris,Philadelphia,2023-24,33.82857142857143,6.614285714285714,13.585714285714285,1.3,3.6857142857142855,2.6714285714285713,3.0428571428571427,1.1428571428571428,5.328571428571428,6.4714285714285715,3.1,1.0,0.6571428571428571,1.3285714285714285,1.6428571428571428,17.2
Mo Bamba,Philadelphia,2023-24,12.982456140350877,1.7017543859649122,3.473684210526316,0.43859649122807015,1.1228070175438596,0.5964912280701754,0.8771929824561403,1.3508771929824561,2.824561403508772,4.175438596491228,0.7192982456140351,0.38596491228070173,1.0526315789473684,0.6842105263157895,1.7719298245614035,4.43859649122807
Ausar Thompson,Detroit,2023-24,25.126984126984127,3.6825396825396823,7.619047619047619,0.3333333333333333,1.7936507936507937,1.126984126984127,1.8888888888888888,2.0476190476190474,4.333333333333333,6.380952380952381,1.9047619047619047,1.0793650793650793,0.9365079365079365,1.3333333333333333,2.7777777777777777,8.825396825396826
Isaiah Stewart,Detroit,2023-24,30.934782608695652,4.043478260869565,8.304347826086957,1.4565217391304348,3.8043478260869565,1.391304347826087,1.8478260869565217,1.608695652173913,5.021739130434782,6.630434782608695,1.5869565217391304,0.3695652173913043,0.8260869565217391,1.434782608695652,2.152173913043478,10.934782608695652
Jalen Duren,Detroit,2023-24,29.131147540983605,5.721311475409836,9.245901639344263,0.0,0.06557377049180328,2.3442622950819674,2.9672131147540983,3.1475409836065573,8.475409836065573,11.62295081967213,2.4098360655737703,0.5409836065573771,0.7704918032786885,2.1147540983606556,3.1475409836065573,13.78688524590164
Jaden Ivey,Detroit,2023-24,28.805194805194805,5.415584415584416,12.636363636363637,1.6103896103896105,4.792207792207792,2.948051948051948,3.935064935064935,1.1168831168831168,2.311688311688312,3.4285714285714284,3.844155844155844,0.7402597402597403,0.5324675324675324,2.4675324675324677,2.6493506493506493,15.38961038961039
Cade Cunningham,Detroit,2023-24,33.45161290322581,8.451612903225806,18.822580645161292,1.9193548387096775,5.403225806451613,3.838709677419355,4.419354838709677,0.532258064516129,3.7903225806451615,4.32258064516129,7.483870967741935,0.9032258064516129,0.3548387096774194,3.4193548387096775,2.467741935483871,22.661290322580644
Saddiq Bey,Atlanta,2023-24,32.73015873015873,4.603174603174603,11.063492063492063,1.7936507936507937,5.682539682539683,2.6984126984126986,3.2222222222222223,2.6507936507936507,3.873015873015873,6.523809523809524,1.4603174603174602,0.8095238095238095,0.1746031746031746,0.8571428571428571,1.3968253968253967,13.698412698412698
